#Stage_Name	Stage_Family	Stage_Manufacturer	Stage_Alt_Name	Length	Length_Flag	Diameter	Diameter_Flag	Launch_Mass	Launch_Mass_Flag	Dry_Mass	Dry_Mass_Flag	Thrust	Thrust_Flag	ThrustSL	ThrustSL_Flag	Duration	Engine	NEng	Class
# Updated 2026 Sep 18 0729:50
L180-YF21B	DF5                 	CALT?	L180-YF21B	 23.1	 	 3.35	 	 180.0	 	   10000	?	    2961.0	 	-	 	 130.0 	YF-20B	 4	O
L140-YF21	DF5                 	CALT	-	 20.2	 	 3.35	 	 151.0	 	    9000	 	    2785.0	 	-	 	 132.0 	YF-21	 4	O
FB-1 Stage 1	DF5                 	SAST	LF140-YF21	 20.2	 	 3.35	 	 151.0	 	    9000	 	    2785.0	 	-	 	 132.0 	YF-21	 4	O
DF-5 Stage 1	DF5                 	CALT?	LF140-YF21	 20.2	 	 3.35	 	 151.0	 	    9000	 	    2785.0	 	-	 	 132.0 	YF-21	 4	M
CZ-2 Stage 1	DF5                 	CALT	L140-YF21	 20.5	 	 3.35	 	 153.0	 	   10000	 	    2961.0	 	-	 	 122.0 	YF-21	 4	O
CZ-2C Stage 1	DF5                 	CALT	L140-YF21	 25.7	 	 3.35	 	 153.0	 	   10000	 	    2961.0	 	-	 	 122.0 	YF-21	 4	O
CZ-2Ca Stage 1	DF5                 	CALT	L140-YF21	 27.3	 	 3.35	 	 182.0	 	   10000	 	    2961.0	 	-	 	 122.0 	YF-21	 4	O
CZ-3 Stage 1	DF5                 	SAST	L140-YF21	 20.2	 	 3.35	 	 151.0	 	    9000	 	    2785.0	 	-	 	 132.0 	YF-21	 4	O
CZ-2E Stage 1	DF5                 	CALT	L180-YF21B	 23.7	 	 3.35	 	 196.5	 	    9500	 	    2961.0	 	-	 	 166.0 	YF-21	 4	O
CZ-3A Stage 1	DF5                 	SAST	L180-YF21B	 23.3	 	 3.35	 	 180.0	 	    9500	?	    2961.0	 	-	 	 145.0 	YF-21	 4	O
CZ-3BE Stage 1	DF5                 	SAST	L180-YF21B	 24.8	 	 3.35	 	 186.2	 	    9500	?	    2961.0	 	-	 	 145.0 	YF-21	 4	O
CZ-4 Stage 1	DF5                 	SAST	L180-YF21B	 24.7	 	 3.35	 	 192.7	 	    9500	 	    2961.0	 	-	 	 170.0 	YF-21	 4	O
